,img_id,number,title,category_big,category_mid,price,detail,region,status,file_count,url
0,100141099,1,미쏘 블라우스 (백화점),여성의류,블라우스,"18,000원",졸업식날 입을려고 백화점에서 오만원 넘게 산거예요한번 입은 옷 저렴하게 득템하세요🖤,전국,중고,4,https://m.bunjang.co.kr/products/100141099?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
1,100693475,1,촤르르 물실크 블라우스 77 (하자있음),여성의류,블라우스,"10,000원","좋은 원단이고 미착용인데 한자가 있어요.옷걸이에 걸어만 놨는데 팔과 허리라인쪽에사진과 같은 얼룩이 생겼습니다. 그냥 얼핏 봤을때는 눈에 잘 띄지 않았는데 자세히 보니 있더라구요. 자켓안에 이너용으로받쳐입으면 원단의 차르르한 느낌때문에 고급스럽게 연출될수 있어서받쳐입는 용도로만 입으실 분 고르세요77로 되어있지만 기장이 짧게 나와서 키 165 아래인 여성분에게좋을듯합니다. 170인 저한테는 전체기장이 좀 짧더라구요참고 부탁드립니다. * 사진을 전체화면으로 보시면 사진이 잘리지 않게 보실수 있습니다.  * 팔로우시 해당구매가격입니다. 팔로워 아닐시 제품당 추가 20% 해주시면 됩니다.  * 만원 미만 아이템들은 1만 5천원 이상 구매시 발송가능하니 양해부탁드립니다^^* 무료배송 상품과 함께 구매시 무료배송 가능* 3만 5천원 이상 구매시 무료배송입니다 ^^ (단 가전제품 제외/ 그외 제외상품은 따로 표기함) * 모든제품 선입금순입니다. 예약은 따로 해드리지 않습니다. 예약물품으로 뜨는물품은 등록대기중인 물품들입니다. *후기 작성하시면 재구매시 3만 5천원이 아니라 [1만 5천원 이상만] 구매하셔도 판매자부담으로 무료배송 해드립니다~!(재구매시에 알려주세요!)* 중고 특성상 발견하지 못한 떼탐/얼룩/보풀/하자/이염/누락이 있을수 있으니 예민하신 분은 구매자제를 부탁드립니다. (이상을 발견한 부분은 최대한 사진찍어 올리니 상세설명과 사진을 잘 확인해주세요~)* 답이 느려도 이해부탁드립니다. 업무중일수도, 식사중일수도, 수면중일수도 혹은 번톡이 밀려있을수도 있습니다~보통 그날 올려야하는 상품업뎃->번톡 확인 순으로 진행합니다. *시간적 제약으로 제품상세설명은 나중에 추가될수도 있습니다. 번톡 답이 없어도 확인후 최대한 빨리 답을 드리도록 노력하겠으니 기다려주세요!*댓글은 확인이 어려우니 번톡으로 문의 부탁드립니다. * 중고제품 특성상 교환 환불이 불가능하니 신중한 구매 부탁드립니다. *주말&공휴일 택배 발송이 없으니 ",,중고,6,https://m.bunjang.co.kr/products/100693475?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
2,100801958,1,듀이듀이 스모킹 니트,여성의류,블라우스,"50,000원",깨끗해요,서울특별시 강남구 역삼1동,중고,3,https://m.bunjang.co.kr/products/100801958?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
3,100970799,1,핑크 리본 프릴블라우스,여성의류,블라우스,"10,000원",여성스럽고 이뻐요색이안어울려서 팔아요택포3000추가,광주광역시 북구 용봉동,새상품,1,https://m.bunjang.co.kr/products/100970799?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
4,101011812,1,위베어베어스 아이폰8 케이스,여성의류,블라우스,"4,000원",,서울특별시 광진구 자양제3동,새상품,2,https://m.bunjang.co.kr/products/101011812?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
5,101160844,1,고급 린넨 블라우스 셔츠 블라썸,여성의류,블라우스,"5,000원",블라썸 린넨 블라우스입니다사이즈는 프리 사이즈이며 66까지 맞습니다린넨100총장 73 가슴 47 어깨 45 소매 23 소매너비 18배송비 포함 1만원에 처리 중입니다.가격 상품 문의는 번개톡주세요~5만원 후반대에 마켓 상품이였습니다.사진 촬영 및 착용감은 약간 있지만힘있는 원단의 린넨이며 쳐지는 느낌이 없이 예쁘게 떨어져요.힙이랑 소매 커버 원하시는 분들에게는 딱 좋을 듯 해요!모델 사이즈는 44라서 오버핏 느낌입니다,전라남도 순천시 왕조1동,중고,5,https://m.bunjang.co.kr/products/101160844?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
6,101200936,1,인기제품 프릴 블라우스,여성의류,블라우스,"13,000원",고급스러운 프릴 블라우스에요~재질도 좋고 얇은편인데 가슴부분 프릴덧대어 있어서더 고급지고 속옷만 입고 입어도 하나도 안비쳐요시원해서 초여름까지도 입을수잇어용 봄 가을도 가능입으면 여리여리 여성스럽고 걍 이뻐요 ㅠㅠ총기장68,전라북도 군산시 수송동,새상품,5,https://m.bunjang.co.kr/products/101200936?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
7,101239981,1,브이넥블라우스 프릴셔츠 크롭블라우스 쉬폰블라우스,여성의류,블라우스,"10,000원",한번입어서 거의새거고 브이넥에 크롭이라 되게 예뻐요! 구매하실분만 연락주세여택 +3500,전국,새상품,3,https://m.bunjang.co.kr/products/101239981?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
8,101240075,1,쉬폰셔링블라우스 흰블라우스,여성의류,블라우스,"9,000원",3번정도 입었는데 상태 좋구여 어디에 입어도 예쁜 블라우스에여 구매하실분만 연락주세여택+3000,전국,중고,2,https://m.bunjang.co.kr/products/101240075?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
9,101279305,1,❣️봄옷정리,여성의류,블라우스,"8,000원","✅택배비 3000원1. 세트상품 28,000원2. 리본프릴블라우스 10,000원3. 테니스스커트(블랙) 10,000원 (속바지 있어요)4. 소녀오프숄더 8,000원5. 뷔스티에 블랙/베이지 8,000원(개당)",경기도 파주시 운정1동,중고,4,https://m.bunjang.co.kr/products/101279305?ref=%EC%B9%B4%ED%85%8C%EA%B3%A0%EB%A6%AC%EC%84%A0%ED%83%9D%EA%B2%B0%EA%B3%BC
